Antibiotic,n_neighbors,threshold,silhouette_score,file_name
Amp_Sulbactam_Interpretación,2,0.05,-0.0341876742306948,isomap_Amp_Sulbactam_Interpretación_n2_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.05,-0.04081261840450861,isomap_Amp_Sulbactam_Interpretación_n5_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.05,-0.04129424060781935,isomap_Amp_Sulbactam_Interpretación_n10_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.05,-0.041313992360877363,isomap_Amp_Sulbactam_Interpretación_n15_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.05,-0.043694602789800044,isomap_Amp_Sulbactam_Interpretación_n30_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.1,-0.03523317634758687,isomap_Amp_Sulbactam_Interpretación_n2_thresh0.1.png
Amp_Sulbactam_Interpretación,5,0.1,-0.038191835507797534,isomap_Amp_Sulbactam_Interpretación_n5_thresh0.1.png
Amp_Sulbactam_Interpretación,10,0.1,-0.033348937822366975,isomap_Amp_Sulbactam_Interpretación_n10_thresh0.1.png
Amp_Sulbactam_Interpretación,15,0.1,-0.037626033626038495,isomap_Amp_Sulbactam_Interpretación_n15_thresh0.1.png
Amp_Sulbactam_Interpretación,30,0.1,-0.03543250537785462,isomap_Amp_Sulbactam_Interpretación_n30_thresh0.1.png
Amp_Sulbactam_Interpretación,2,0.15,-0.05980645884147869,isomap_Amp_Sulbactam_Interpretación_n2_thresh0.15.png
Amp_Sulbactam_Interpretación,5,0.15,-0.06419218826429876,isomap_Amp_Sulbactam_Interpretación_n5_thresh0.15.png
Amp_Sulbactam_Interpretación,10,0.15,-0.06718482525104671,isomap_Amp_Sulbactam_Interpretación_n10_thresh0.15.png
Amp_Sulbactam_Interpretación,15,0.15,-0.06705090508650938,isomap_Amp_Sulbactam_Interpretación_n15_thresh0.15.png
Amp_Sulbactam_Interpretación,30,0.15,-0.07074665478804111,isomap_Amp_Sulbactam_Interpretación_n30_thresh0.15.png
Amp_Sulbactam_Interpretación,2,0.2,-0.2795471043027081,isomap_Amp_Sulbactam_Interpretación_n2_thresh0.2.png
Amp_Sulbactam_Interpretación,5,0.2,-0.23204196525646065,isomap_Amp_Sulbactam_Interpretación_n5_thresh0.2.png
Amp_Sulbactam_Interpretación,10,0.2,-0.2317630533920508,isomap_Amp_Sulbactam_Interpretación_n10_thresh0.2.png
Amp_Sulbactam_Interpretación,15,0.2,-0.22782172610374843,isomap_Amp_Sulbactam_Interpretación_n15_thresh0.2.png
Amp_Sulbactam_Interpretación,30,0.2,-0.23066410812320434,isomap_Amp_Sulbactam_Interpretación_n30_thresh0.2.png
